_id,aha1,aha2,aha3,beforeBreakMovesets[0][0],beforeBreakMovesets[1][0],beforeBreakMovesets[2][0],beforeBreakMovesets[3][0],beforeBreakMovesets[4][0],beforeBreakMovesets[5][0],beforeBreakMovesets[6][0],beforeBreakMovesets[7][0],beforeBreakMovesets[8][0],beforeBreakMovesets[9][0],beforeBreakMovesets[10][0],beforeBreakMovesets[11][0],beforeBreakMovesets[12][0],beforeBreakMovesets[13][0],beforeBreakMovesets[14][0],beforeBreakMovesets[15][0],beforeBreakMovesets[16][0],beforeBreakMovesets[17][0],beforeBreakMovesets[18][0],beforeBreakMovesets[19][0],beforeBreakMovesets[20][0],beforeBreakMovesets[21][0],beforeBreakMovesets[22][0],beforeBreakMovesets[23][0],beforeBreakMovesets[24][0],beforeBreakMovesets[25][0],beforeBreakMovesets[26][0],beforeBreakMovesets[27][0],beforeBreakMovesets[28][0],beforeBreakMovesets[29][0],beforeBreakMovesets[30][0],beforeBreakMovesets[31][0],beforeBreakMovesets[32][0],beforeBreakMovesets[33][0],beforeBreakMovesets[34][0],beforeBreakMovesets[35][0],beforeBreakMovesets[36][0],beforeBreakMovesets[37][0],beforeBreakMovesets[38][0],beforeBreakMovesets[39][0],beforeBreakMovesets[40][0],beforeBreakMovesets[41][0],beforeBreakMovesets[42][0],beforeBreakMovesets[43][0],beforeBreakMovesets[44][0],beforeBreakMovesets[45][0],beforeBreakMovesets[46][0],beforeBreakMovesets[47][0],beforeBreakMovesets[48][0],beforeBreakMovesets[49][0],beforeBreakMovesets[50][0],beforeBreakMovesets[51][0],beforeBreakMovesets[52][0],beforeBreakMovesets[53][0],beforeBreakMovesets[54][0],beforeBreakMovesets[55][0],beforeBreakMovesets[56][0],beforeBreakMovesets[57][0],beforeBreakMovesets[58][0],completedEarly,completedLevel,condition,correctValue,difficultyValue,durationAfterBreak,durationBeforeBreak,durationBreak,durationToBeatGame,idleTime,incorrectValue,levelNumber,nm1,nm2,nm3,playerId,prolificPID,r1b,r2b,r3b,scrollCount,sessionID,stuckValue,studyID,afterBreakMovesets[0][0],afterBreakMovesets[1][0],afterBreakMovesets[2][0],afterBreakMovesets[3][0],afterBreakMovesets[4][0],afterBreakMovesets[5][0],afterBreakMovesets[6][0],afterBreakMovesets[7][0],afterBreakMovesets[8][0],afterBreakMovesets[9][0],afterBreakMovesets[10][0],afterBreakMovesets[11][0],afterBreakMovesets[12][0],afterBreakMovesets[13][0],afterBreakMovesets[14][0],afterBreakMovesets[15][0],afterBreakMovesets[16][0],afterBreakMovesets[17][0],afterBreakMovesets[18][0],afterBreakMovesets[19][0],afterBreakMovesets[20][0],afterBreakMovesets[21][0],afterBreakMovesets[22][0],afterBreakMovesets[23][0],afterBreakMovesets[24][0],afterBreakMovesets[25][0],afterBreakMovesets[26][0],afterBreakMovesets[27][0],afterBreakMovesets[28][0],afterBreakMovesets[29][0],afterBreakMovesets[30][0],afterBreakMovesets[31][0],e1,e2,e3,f1,f2,f3,mw1,mw2,mw3,pw,r1,r2,r3,ra
6605e3331b35cda2746f5d15,2,3,4,rrddlludrruullulduuurddldrr,udrrddlluuluuur,udrrddlludrruulldluruuldd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,6,153.95,127.97,15.04,296.97,209,,5,,,,1711660345803304945,6604543713f81bf1906dd444,4,4,4,,6605dd2bcc89a2d70dabb2f4,6,65f423754adf51958397327d,luurdldrr,rrddlludrruulldluuurdlddrdrruulluldruu,rrddllulurluurdlddrdrruu,rrddlludrruullulduuurddldrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605dec91b35cda2746f5cb7,2,3,5,uluurddldr,rrddlludrruullulduuurdddrrddlludrruull,rrddlludrruulldluu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,19,6,180.28,128.81,344.07,653.15,235,0,5,5,6,5,1711659879133829141,5fd4d08021ce43067dbc7bba,4,5,4,,6605db0be3489ef374150fa8,6,65f423754adf51958397327d,luurdldrd,rrddlludrruulldluuu,luurdldrdl,rrddlludrruulluluurddldurdrrddlludrruu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,5,5,5,2,3,3,3,2
6605e13d1b35cda2746f5cd5,5,6,7,uurlddrruuurulddddllurdruuu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,null,null,null,19.44,13,,5,,,,1711660559024577236,6489f5f10dc480fe353ca487,,,,,6605dc12c29b20d759037b34,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e2f51b35cda2746f5d0e,1,1,1,durrdd,rrddlludrruullulduuurddl,rrddlludrruulldluuur,rrddlludrruulldluud,rrddllu,udrrddlludrruullulduuurdddrrddlludrruulld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,5,136.01,123.79,11.75,271.56,151,,5,,,,1711661435887272042,5df3dcdd9b92b12b6db3a4e5,3,4,4,,6605e17496e9d38e42154212,5,65f423754adf51958397327d,luurdldrrl,rrddlludrruulldluuurd,rrddllulurddrruullulduuurddldrddrruullul,luurdldrdurlld,rrddlludrruulldluuurdlddrdrruullulduu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e3031b35cda2746f5d0f,6,6,6,rrddlludrruull,udrrddlludrruullulduuurdd,luurdldrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,2,125.65,180.00,17.81,323.46,225,,5,,,,1711660106631903450,65ae7c8727763d0d1ad7422c,5,5,5,,6605dc358d9510538d7e5b08,5,65f423754adf51958397327d,rrddllulurluurdd,luurdldr,d,rrddlludrruullulduuurddldrddrruull,rrddlludrruulldluu,luurdldd,udrrddlludrruulluluurdddul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605dd301b35cda2746f5ca3,6,6,6,rrddlludrruullulduuurdddrrddlluu,luur,rrddlludrruulldluru,luurdldr,rrddlludrruullulduuurddldrddrruulrddlluu,rrddlludrruulldluu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,5,126.73,125.34,240.35,492.43,145,,5,6,6,6,1711659383565474686,632e9aa62793c18a857aece4,3,3,3,15,6605d95070dfa84cc4b99b15,5,65f423754adf51958397327d,luurdldrrld,durrddl,rrddlludrruulldluuurdlu,d,rrddllulurddrruullulduuurddld,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,2,5,3,6,6,6,1,3,3,3,6
6605ddc71b35cda2746f5ca8,6,6,6,rrddlludrruullulduuurddd,rrddlludrruulldluu,luurdldrr,rrddlludrruullulduuurdddrrddllu,rrddlludrruulluluurddldrddrruulr,luurd,rrddlludrruulluluurdddrrddlluluuddrdrruulluldruuuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,null,null,null,111.10,45,,5,,,,171165955857696037,65c111f100af1af81e3f444d,,,,,6605da1d3d5de4e5282de516,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e0311b35cda2746f5cc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711660192558696673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,4,2,2,6,3,5,1,4,3,4,4
6605e0b91b35cda2746f5cc8,4,3,3,rrddlludrruullulduuurddldrr,luurdldd,rrddlludrruullulduuurddldrr,luurdldrr,uld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,5,120.57,180.01,25.67,326.25,240,,5,,,,1711660470044322882,604db6324496c57afe822770,3,4,5,,6605ddadc29b20d759037bae,5,65f423754adf51958397327d,rrddlludrruullulduuurddld,luurdldrdur,durrddl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e3ad1b35cda2746f5d25,3,5,4,luurdldrl,udrrddlludrruullulduuurddldrddrruulluuld,luurdldr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,18,6,123.50,153.28,277.99,554.77,216,0,5,6,6,6,1711661209332430156,5e72ca5b264abb21732427cf,3,4,4,,6605e035268ac4288de5a843,6,65f423754adf51958397327d,udluuurddld,rrddlludrruulldluu,rrddlludrruulluddlud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,6,6,6,5,2,5,2,3,4,4,5
